Date,Close,Open,High,Low,Volume
2024-03-11,,,,,
2024-03-12,,,,,
2024-03-13,,,,,
2024-03-14,,,,,
2024-03-15,,,,,
2024-03-18,,,,,
2024-03-19,,,,,
2024-03-20,,,,,
2024-03-21,,,,,
2024-03-22,,,,,
2024-03-25,,,,,
2024-03-26,,,,,
2024-03-27,131.25,115.0,135.0,115.0,4960410.0
2024-03-28,136.75,137.93,137.93,129.96,2239055.0
2024-04-01,142.02,141.01,144.33,137.07,1029489.0
2024-04-02,140.0,142.85,152.48,138.64,18246124.0
2024-04-03,137.34,142.3,144.0,135.8,8866864.0
2024-04-04,126.06,136.0,139.35,125.26,14207744.0
2024-04-05,122.7,125.5,128.18,119.0,16054788.0
2024-04-08,129.96,126.13,131.95,125.86,12195039.0
2024-04-09,132.17,130.87,133.6,128.25,9143523.0
2024-04-10,138.37,129.5,139.93,128.94,8376809.0
2024-04-11,136.57,139.2,139.32,136.41,5326943.0
2024-04-12,134.0,135.0,138.11,133.56,3765246.0
2024-04-15,131.75,134.6,135.32,129.85,3724891.0
2024-04-16,130.07,132.5,133.05,128.25,5870930.0
2024-04-17,134.75,132.04,138.18,131.25,6154554.0
2024-04-18,137.22,138.15,138.41,135.43,5022268.0
2024-04-19,135.1,137.25,140.59,134.91,4518763.0
2024-04-22,136.69,135.52,137.14,132.11,2435104.0
2024-04-23,147.83,138.46,148.35,137.87,4682814.0
2024-04-24,146.18,147.0,149.9,144.35,4684613.0
2024-04-25,148.31,143.0,152.14,138.67,6069264.0
2024-04-26,153.07,153.64,157.25,150.2,4230515.0
2024-04-29,159.01,153.58,159.55,153.58,5937215.0
2024-04-30,153.71,158.14,163.1,152.25,3490075.0
2024-05-01,151.67,154.19,156.7,149.42,3397459.0
2024-05-02,153.83,153.53,155.44,151.66,2530741.0
2024-05-03,166.26,155.63,167.17,155.14,4635134.0
2024-05-06,169.14,167.16,171.17,164.51,4007044.0
2024-05-07,167.36,168.66,173.5,167.17,2884150.0
2024-05-08,164.0,167.0,167.01,163.23,3679684.0
2024-05-09,166.4,165.0,168.72,164.65,4022569.0
2024-05-10,167.27,169.0,170.8,165.99,3459622.0
2024-05-13,161.53,165.0,167.55,160.18,4413798.0
2024-05-14,165.63,160.69,166.56,158.86,3855420.0
2024-05-15,167.87,168.36,172.35,166.96,2572025.0
2024-05-16,166.4,168.03,170.0,166.35,1604395.0
2024-05-17,162.62,166.88,167.64,160.94,1937153.0
2024-05-20,160.95,163.06,164.3,160.21,1736122.0
2024-05-21,163.93,160.24,164.49,159.07,1945469.0
2024-05-22,163.85,164.29,167.36,163.0,2018868.0
2024-05-23,161.67,166.42,170.0,161.44,3139003.0
2024-05-24,177.43,162.81,177.77,162.09,4294052.0
2024-05-28,178.09,178.34,182.78,176.78,2632749.0
2024-05-29,177.32,176.0,178.69,174.1,1537710.0
2024-05-30,175.08,176.97,177.81,174.5,2043133.0
2024-05-31,175.9,177.1,179.77,165.4,5454904.0
2024-06-03,170.37,178.93,179.0,166.44,3434765.0
2024-06-04,163.04,168.35,169.41,161.33,5279783.0
2024-06-05,163.49,165.09,168.3,162.47,8005543.0
2024-06-06,160.31,163.25,164.13,155.5,5249018.0
2024-06-07,162.08,159.5,165.76,159.04,4850297.0
2024-06-10,166.64,161.22,170.0,160.6,4224304.0
2024-06-11,168.23,165.5,168.54,163.3,2036122.0
2024-06-12,177.52,171.54,179.22,171.16,4016501.0
2024-06-13,176.17,179.8,181.96,172.84,3462158.0
2024-06-14,170.17,174.09,174.78,166.2,3128342.0
2024-06-17,168.76,169.75,171.88,166.15,2804196.0
2024-06-18,179.57,167.94,180.25,166.33,3364919.0
2024-06-20,177.18,178.47,185.5,175.1,4005304.0
2024-06-21,175.73,177.1,177.18,170.4,3876954.0
2024-06-24,178.14,176.55,179.15,174.77,2552892.0
2024-06-25,181.45,179.8,181.5,176.27,2554030.0
2024-06-26,180.0,180.89,181.73,177.62,2283955.0
2024-06-27,176.28,178.39,179.27,173.25,2541263.0
2024-06-28,171.51,174.8,176.3,167.18,3783554.0
2024-07-01,167.52,171.0,171.2,165.12,2748335.0
2024-07-02,169.81,165.41,171.98,165.41,2447440.0
2024-07-03,172.68,170.1,174.78,169.18,1317151.0
2024-07-05,176.23,171.5,177.44,171.26,1629585.0
2024-07-08,174.37,176.81,178.6,174.17,1659343.0
2024-07-09,172.98,174.28,174.83,172.6,1801065.0
2024-07-10,179.73,174.93,179.8,174.6,1835670.0
2024-07-11,176.7,181.0,183.16,176.55,2574654.0
2024-07-12,180.45,177.95,184.33,174.4,1603909.0
2024-07-15,177.44,180.24,181.81,176.5,3026614.0
2024-07-16,182.74,178.78,183.89,178.18,1789742.0
2024-07-17,165.83,180.2,180.2,162.9,6033756.0
2024-07-18,161.49,168.0,171.45,159.43,4736552.0
2024-07-19,163.34,162.0,163.69,159.11,2547792.0
2024-07-22,166.76,166.38,168.25,163.68,1738608.0
2024-07-23,170.49,167.0,171.01,166.22,3221764.0
2024-07-24,162.9,167.34,172.3,162.73,5532133.0
2024-07-25,160.0,166.0,166.29,156.41,5163169.0
2024-07-26,173.11,168.46,173.98,163.69,3871920.0
2024-07-29,172.05,174.32,174.77,169.85,1757967.0
2024-07-30,162.7,172.93,174.07,162.45,2639331.0
2024-07-31,178.24,171.25,180.26,171.25,4056500.0
2024-08-01,174.03,181.9,183.86,171.81,3706765.0
2024-08-02,164.73,168.78,169.99,161.5,3314487.0
2024-08-05,162.24,152.41,165.39,150.01,3700451.0
2024-08-06,164.35,163.08,166.47,160.0,2800031.0
